F,Total length,usb.totlen,FT_UINT32,usb,BASE_DEC,0x0,
F,Host controller unit number,usb.busunit,FT_UINT32,usb,BASE_DEC,0x0,
F,USB device index,usb.address,FT_UINT8,usb,BASE_DEC,0x0,
F,URB type,usb.freebsd_type,FT_UINT8,usb,BASE_DEC,0x0,
F,URB transfer type,usb.freebsd_transfer_type,FT_UINT8,usb,BASE_HEX,0x0,
F,Transfer flags,usb.xferflags,FT_UINT32,usb,BASE_HEX,0x0,
F,Force short transfer,usb.xferflags.force_short_xfer,FT_BOOLEAN,usb,32,0x1,
F,Short transfer OK,usb.xferflags.short_xfer_ok,FT_BOOLEAN,usb,32,0x2,
F,Short frames OK,usb.xferflags.short_frames_ok,FT_BOOLEAN,usb,32,0x4,
F,Pipe BOF,usb.xferflags.pipe_bof,FT_BOOLEAN,usb,32,0x8,
F,Proxy buffer,usb.xferflags.proxy_buffer,FT_BOOLEAN,usb,32,0x10,
F,External buffer,usb.xferflags.ext_buffer,FT_BOOLEAN,usb,32,0x20,
F,Manual status,usb.xferflags.manual_status,FT_BOOLEAN,usb,32,0x40,
F,No pipe OK,usb.xferflags.no_pipe_ok,FT_BOOLEAN,usb,32,0x80,
F,Stall pipe,usb.xferflags.stall_pipe,FT_BOOLEAN,usb,32,0x100,
F,Transfer status,usb.xferstatus,FT_UINT32,usb,BASE_HEX,0x0,
F,Pipe has been opened,usb.xferstatus.open,FT_BOOLEAN,usb,32,0x1,
F,Transfer in progress,usb.xferstatus.transferring,FT_BOOLEAN,usb,32,0x2,
F,Waited for hardware DMA,usb.xferstatus.did_dma_delay,FT_BOOLEAN,usb,32,0x4,
F,Transfer closed,usb.xferstatus.did_close,FT_BOOLEAN,usb,32,0x8,
F,Draining transfer,usb.xferstatus.draining,FT_BOOLEAN,usb,32,0x10,
F,Transfer started,usb.xferstatus.started,FT_BOOLEAN,usb,32,0x20,Whether the transfer is started or stopped
F,Bandwidth reclaimed,usb.xferstatus.bw_reclaimed,FT_BOOLEAN,usb,32,0x40,
F,Control transfer,usb.xferstatus.control_xfr,FT_BOOLEAN,usb,32,0x80,
F,Control header being sent,usb.xferstatus.control_hdr,FT_BOOLEAN,usb,32,0x100,
F,Control transfer active,usb.xferstatus.control_act,FT_BOOLEAN,usb,32,0x200,
F,Control transfer should be stalled,usb.xferstatus.control_stall,FT_BOOLEAN,usb,32,0x400,
F,Short frames OK,usb.xferstatus.short_frames_ok,FT_BOOLEAN,usb,32,0x800,
F,Short transfer OK,usb.xferstatus.short_xfer_ok,FT_BOOLEAN,usb,32,0x1000,
F,BUS-DMA enabled,usb.xferstatus.bdma_enable,FT_BOOLEAN,usb,32,0x2000,
F,BUS-DMA post sync op not done,usb.xferstatus.bdma_no_post_sync,FT_BOOLEAN,usb,32,0x4000,
F,BUS-DMA set up,usb.xferstatus.bdma_setup,FT_BOOLEAN,usb,32,0x8000,
F,Isochronous transfer,usb.xferstatus.isochronous_xfr,FT_BOOLEAN,usb,32,0x10000,
F,Current DMA set,usb.xferstatus.curr_dma_set,FT_UINT32,usb,BASE_DEC,0x20000,
F,Transfer can be cancelled immediately,usb.xferstatus.can_cancel_immed,FT_BOOLEAN,usb,32,0x40000,
F,Executing the callback,usb.xferstatus.doing_callback,FT_BOOLEAN,usb,32,0x80000,
F,Error,usb.error,FT_UINT32,usb,BASE_DEC,0x0,
F,Interval,usb.interval,FT_UINT32,usb,BASE_DEC,0x0,Interval (ms)
F,Number of following frames,usb.nframes,FT_UINT32,usb,BASE_DEC,0x0,
F,Packet size used,usb.packet_size,FT_UINT32,usb,BASE_DEC,0x0,
F,Packet count used,usb.packet_count,FT_UINT32,usb,BASE_DEC,0x0,
F,Speed,usb.speed,FT_UINT8,usb,BASE_DEC,0x0,
F,Frame length,usb.frame.length,FT_UINT32,usb,BASE_DEC,0x0,
F,Frame flags,usb.frame.flags,FT_UINT32,usb,BASE_HEX,0x0,
F,Data direction is read,usb.frame.read,FT_BOOLEAN,usb,32,0x1,
F,Frame contains data,usb.frame.data_follows,FT_BOOLEAN,usb,32,0x2,
F,Frame data,usb.frame.data,FT_BYTES,usb,,0x0,
F,URB id,usb.urb_id,FT_UINT64,usb,BASE_HEX,0x0,
